season_id,round,date,start_time,home_team,away_team,score,attendance,referee,venue,match_report,home_score,away_score,match_id
73_2024,Regular Season,2024-03-09,14:00,New Mexico Utd,Pittsburgh,'1-0,"11,347",,Isotopes Park,https://fbref.com/en/matches/b1544fc3/New-Mexico-United-Pittsburgh-Riverhounds-March-9-2024-USL-Championship,1,0,b1544fc3
73_2024,Regular Season,2024-03-09,15:00,Memphis 901,LV Lights FC,'2-1,"3,290",,AutoZone Park,https://fbref.com/en/matches/778d92a1/Memphis-901-Las-Vegas-Lights-FC-March-9-2024-USL-Championship,2,1,778d92a1
73_2024,Regular Season,2024-03-09,19:00,Roots,Indy Eleven,'2-1,"5,146",,Pioneer Stadium,https://fbref.com/en/matches/6ce79fb0/Oakland-Roots-Indy-Eleven-March-9-2024-USL-Championship,2,1,6ce79fb0
73_2024,Regular Season,2024-03-09,19:00,Miami FC,CS Switchbacks,'2-0,"1,122",Sergii Demianchuk,South Dade Kia Field at Pitbull Stadium,https://fbref.com/en/matches/7a4237a4/Miami-FC-Colorado-Springs-Switchbacks-March-9-2024-USL-Championship,2,0,7a4237a4
73_2024,Regular Season,2024-03-09,19:00,North Carolina,Charleston,'0-0,"2,576",,Sahlen's Stadium at WakeMed Soccer Park,https://fbref.com/en/matches/860234cf/North-Carolina-FC-Charleston-Battery-March-9-2024-USL-Championship,0,0,860234cf
73_2024,Regular Season,2024-03-09,19:00,Sac Republic,Orange County,'2-2,"11,569",,Heart Health Park,https://fbref.com/en/matches/82d360f7/Sacramento-Republic-Orange-County-SC-March-9-2024-USL-Championship,2,2,82d360f7
73_2024,Regular Season,2024-03-09,19:30,Phx Rising,B'ham Legion,'0-1,"8,187",,Wild Horse Pass Stadium,https://fbref.com/en/matches/ff3c2f48/Phoenix-Rising-Birmingham-Legion-March-9-2024-USL-Championship,0,1,ff3c2f48
73_2024,Regular Season,2024-03-09,19:30,San Antonio FC,Loudoun United,'2-2,"7,263",,Toyota Field,https://fbref.com/en/matches/f8251d3a/San-Antonio-FC-Loudoun-United-March-9-2024-USL-Championship,2,2,f8251d3a
73_2024,Regular Season,2024-03-09,20:00,El Paso,Hartford Athletic,'0-1,"6,111",,Southwest University Park,https://fbref.com/en/matches/3e0b5f68/El-Paso-Locomotive-Hartford-Athletic-March-9-2024-USL-Championship,0,1,3e0b5f68
73_2024,Regular Season,2024-03-13,20:00,El Paso,Monterey Bay,'1-1,"4,566",Brad Jensen,Southwest University Park,https://fbref.com/en/matches/e0ef2679/El-Paso-Locomotive-Monterey-Bay-March-13-2024-USL-Championship,1,1,e0ef2679
